TimeCreated,Channel,Level,EventId,ProviderName,Message
2026-03-30 16:59:08,System,Information,51057,Microsoft-Windows-DHCPv6-Client,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
2026-03-30 16:59:08,System,Information,51047,Microsoft-Windows-DHCPv6-Client,DHCPv6 client service is stopped. ShutDown Flag value is 1
2026-03-30 16:59:08,System,Information,50105,Microsoft-Windows-Dhcp-Client,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
2026-03-30 16:59:08,System,Information,50104,Microsoft-Windows-Dhcp-Client,DHCPv4 client received shutdown notification
2026-03-30 16:59:08,System,Information,6006,EventLog,The Event log service was stopped.
2026-03-30 16:59:08,Application,Information,1532,Microsoft-Windows-User Profiles Service,The User Profile Service has stopped.    
2026-03-30 16:59:08,Application,Information,0,LightKeeperService,Service has been successfully shut down.
2026-03-30 16:59:08,Application,Information,0,Service1,Service has been successfully shut down.
2026-03-30 16:59:08,Application,Information,0,SystemUsageReportSvc,Service has been successfully shut down.
2026-03-30 16:59:08,Application,Information,0,DSAUpdateService,Service has been successfully shut down.
2026-03-30 16:59:08,Application,Information,0,DSAService,Service has been successfully shut down.
2026-03-30 16:59:08,Application,Information,0,Service1,Service has been successfully shut down.
2026-03-30 16:59:07,System,Information,1074,User32,The process C:\WINDOWS\system32\winlogon.exe (DESKTOP-KN) has initiated the power off of computer DESKTOP-KN on behalf of user NT AUTHORITY\SYSTEM for the following reason: No title for this reason could be found  Reason Code: 0x500ff  Shutdown Type: power off  Comment: 
2026-03-30 16:56:12,System,Warning,10016,Microsoft-Windows-DistributedCOM,The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID  {2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}  and APPID  {15C20B67-12E7-4BB6-92BB-7AFF07997402}  to the user DESKTOP-KN\Owner SID (S-1-5-21-1775440496-1244785614-1751367727-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.
